dose	response	experiment	background	control
13.5	0.35	1	0	1
4.5	-0.64	1	0	1
1.5	75.64	1	0	1
0.5	103.27	1	0	1
0.166667	104.18	1	0	1
0.01	101.97	1	0	1
2	58.47	2	0	1
1.33	100.44	2	0	1
0.89	95.43	2	0	1
0.59	100.14	2	0	1
0.4	106.49	2	0	1
0.01	102.7	2	0	1
2	19.73	3	0	1
1.33	96.48	3	0	1
0.59	87.62	3	0	1
0.4	99	3	0	1
0.01	105.29	3	0	1
2	83.26	4	0	1
1.33	88.94	4	0	1
0.89	99.03	4	0	1
0.59	103.89	4	0	1
0.001	100	4	0	1
20	0	4	0	1
