dose	response	experiment	background	control
13.5	-0.02	1	0	1
4.5	0.9	1	0	1
1.5	10.05	1	0	1
0.5	76.76	1	0	1
0.166667	97.55	1	0	1
0.01	97.41	1	0	1
2	6.45	2	0	1
1.33	21.66	2	0	1
0.89	30.46	2	0	1
0.59	69.89	2	0	1
0.4	80.07	2	0	1
0.01	93.05	2	0	1
0.6	74.64	3	0	1
0.4	87.39	3	0	1
0.27	97.68	3	0	1
0.18	109.81	3	0	1
0.12	94.94	3	0	1
0.3	86.655	4	0	1
0.25	90.815	4	0	1
